Rank,Starred,Model ID,Feature List ID,Feature List,Model Features,Sample Size,Prediction Threshold,Modeling Results,Model Type,Reference Model,Prediction Threshold Locked,Insights,DataRobot Prime,Sample %,Holdout Size,Predicted Ram Usage,Total Prediction API Requirements,Uses GPU,Scaleout,Monotonic Constraints,Monotonic Feature List,Smart Sampling,Smart Sample Size
10,False,60e6fa1e1819e0ef5b4cc9ee,60e6f9aa09e650e3e304a2c9,Informative Features,"Missing Values Imputed, Generalized Additive2 Model (Gamma Loss), Text fit on Residuals (L2 / Gamma Deviance)",1240.0,0.5,"FVE Gamma: [0.86287], FVE Poisson: [0.9034], FVE Tweedie: [0.88972], Gamma Deviance: [0.12039], Gini Norm: [0.95352], MAE: [8.06087], MAPE: [28.63354], Poisson Deviance: [3.1207], R Squared: [0.89989], RMSE: [13.04147], RMSLE: [0.32644], SMAPE: [26.20099], Tweedie Deviance: [0.56307], labels: ['(0,-1)'], metrics: ['FVE Gamma', 'FVE Poisson', 'FVE Tweedie', 'Gamma Deviance', 'Gini Norm', 'MAE', 'MAPE', 'Poisson Deviance', 'R Squared', 'RMSE', 'RMSLE', 'SMAPE', 'Tweedie Deviance']",Generalized Additive2 Model (Gamma Loss),False,False,NA,False,64.0166,387,,0,False,False,True,,,
8,False,60e6fa1d1819e0ef5b4cc9ec,60e6f9aa09e650e3e304a2c9,Informative Features,Regularized Linear Model Preprocessing v2,1240.0,0.5,"FVE Gamma: [0.86634], FVE Poisson: [0.87633], FVE Tweedie: [0.88176], Gamma Deviance: [0.11734], Gini Norm: [0.95309], MAE: [8.50763], MAPE: [30.83418], Poisson Deviance: [3.9954], R Squared: [0.79258], RMSE: [18.77204], RMSLE: [0.3373], SMAPE: [25.35811], Tweedie Deviance: [0.60369], labels: ['(0,-1)'], metrics: ['FVE Gamma', 'FVE Poisson', 'FVE Tweedie', 'Gamma Deviance', 'Gini Norm', 'MAE', 'MAPE', 'Poisson Deviance', 'R Squared', 'RMSE', 'RMSLE', 'SMAPE', 'Tweedie Deviance']",Elastic-Net Regressor (mixing alpha=0.5 / Gamma Deviance),False,False,NA,False,64.0166,387,,0,False,False,False,,,
46,False,60e6fb5623af5dbcb70a1602,60e6f9aa09e650e3e304a2c9,Informative Features,Average Blender,1240.0,0.5,"FVE Gamma: [0.9257, 0.920142], FVE Poisson: [0.95684, 0.9372200000000002], FVE Tweedie: [0.94561, 0.9360440000000001], Gamma Deviance: [0.06523, 0.07819400000000001], Gini Norm: [0.97908, 0.9756979999999998], MAE: [5.11706, 6.695784000000001], MAPE: [20.56212, 23.843956], Poisson Deviance: [1.39435, 2.6779260000000003], R Squared: [0.9581, 0.8872859999999999], RMSE: [8.43704, 16.872478], RMSLE: [0.24319, 0.27480400000000005], SMAPE: [18.81359, 19.007582], Tweedie Deviance: [0.27771, 0.39351], labels: ['(0,-1)', '(.,-1)'], metrics: ['FVE Gamma', 'FVE Poisson', 'FVE Tweedie', 'Gamma Deviance', 'Gini Norm', 'MAE', 'MAPE', 'Poisson Deviance', 'R Squared', 'RMSE', 'RMSLE', 'SMAPE', 'Tweedie Deviance']",AVG Blender,False,False,NA,False,64.0166,387,,0,False,False,False,,,
20,False,60e6fa1d1819e0ef5b4cc9ea,60e6f9aa09e650e3e304a2c9,Informative Features,Tree-based Algorithm Preprocessing v1,1240.0,0.5,"FVE Gamma: [0.91725, 0.9082259999999998], FVE Poisson: [0.94687, 0.9324680000000001], FVE Tweedie: [0.93673, 0.927418], Gamma Deviance: [0.07264, 0.090162], Gini Norm: [0.97438, 0.9709500000000002], MAE: [5.83876, 7.059874000000001], MAPE: [21.83084, 24.634068], Poisson Deviance: [1.71634, 2.9077800000000003], R Squared: [0.94189, 0.901766], RMSE: [9.93562, 16.348921999999998], RMSLE: [0.25625, 0.28874], SMAPE: [20.13158, 20.644064000000004], Tweedie Deviance: [0.32304, 0.449218], labels: ['(0,-1)', '(.,-1)'], metrics: ['FVE Gamma', 'FVE Poisson', 'FVE Tweedie', 'Gamma Deviance', 'Gini Norm', 'MAE', 'MAPE', 'Poisson Deviance', 'R Squared', 'RMSE', 'RMSLE', 'SMAPE', 'Tweedie Deviance']",eXtreme Gradient Boosted Trees Regressor (Gamma Loss),False,False,NA,False,64.0166,387,,0,False,False,True,,,
29,False,60e6fa1e1819e0ef5b4cc9ef,60e6f9aa09e650e3e304a2c9,Informative Features,Tree-based Algorithm Preprocessing v1,1240.0,0.5,"FVE Gamma: [0.907, 0.8927019999999999], FVE Poisson: [0.9453, 0.92864], FVE Tweedie: [0.93115, 0.9171759999999999], Gamma Deviance: [0.08165, 0.106222], Gini Norm: [0.97075, 0.9653419999999999], MAE: [5.84776, 7.527393999999999], MAPE: [23.48571, 25.070164], Poisson Deviance: [1.76725, 3.15894], R Squared: [0.94724, 0.9158959999999998], RMSE: [9.46736, 15.385719999999997], RMSLE: [0.27295, 0.30148600000000003], SMAPE: [21.06662, 22.108624], Tweedie Deviance: [0.35152, 0.520782], labels: ['(0,-1)', '(.,-1)'], metrics: ['FVE Gamma', 'FVE Poisson', 'FVE Tweedie', 'Gamma Deviance', 'Gini Norm', 'MAE', 'MAPE', 'Poisson Deviance', 'R Squared', 'RMSE', 'RMSLE', 'SMAPE', 'Tweedie Deviance']",Light Gradient Boosted Trees Regressor with Early Stopping (Gamma Loss),False,False,NA,False,64.0166,387,,0,False,False,False,,,
4,False,60e6fa1c1819e0ef5b4cc9e8,60e6f9aa09e650e3e304a2c9,Informative Features,"Numeric Data Cleansing, Smooth Ridit Transform, Keras Slim Residual Neural Network Regressor using Training Schedule (1 Layer: 64 Units)",1240.0,0.5,"FVE Gamma: [0.87319], FVE Poisson: [0.90921], FVE Tweedie: [0.89957], Gamma Deviance: [0.11133], Gini Norm: [0.95842], MAE: [7.75987], MAPE: [29.08684], Poisson Deviance: [2.93314], R Squared: [0.88135], RMSE: [14.19806], RMSLE: [0.32047], SMAPE: [24.99623], Tweedie Deviance: [0.51275], labels: ['(0,-1)'], metrics: ['FVE Gamma', 'FVE Poisson', 'FVE Tweedie', 'Gamma Deviance', 'Gini Norm', 'MAE', 'MAPE', 'Poisson Deviance', 'R Squared', 'RMSE', 'RMSLE', 'SMAPE', 'Tweedie Deviance']",Keras Slim Residual Neural Network Regressor using Training Schedule (1 Layer: 64 Units),False,False,NA,False,64.0166,387,,0,False,False,False,,,
44,False,60e6fb36d1bedf4a39dec6bf,60e6f9aa09e650e3e304a2c9,Informative Features,Boosting Model Preprocessing v1,1937,0.5,"FVE Gamma: [0.9249, 0.918024], FVE Poisson: [0.94939, 0.9147359999999999], FVE Tweedie: [0.9431, 0.927662], Gamma Deviance: [0.06593, 0.080176], Gini Norm: [0.97842, 0.9745099999999999], MAE: [5.77094, 7.860472], MAPE: [20.47391, 25.947938], Poisson Deviance: [1.63514, 3.598855999999999], R Squared: [0.92004, 0.7519600000000001], RMSE: [11.65563, 23.390546], RMSLE: [0.24337, 0.280292], SMAPE: [18.7351, 19.110888000000003], Tweedie Deviance: [0.29049, 0.443796], labels: ['(0,-1)', '(.,-1)'], metrics: ['FVE Gamma', 'FVE Poisson', 'FVE Tweedie', 'Gamma Deviance', 'Gini Norm', 'MAE', 'MAPE', 'Poisson Deviance', 'R Squared', 'RMSE', 'RMSLE', 'SMAPE', 'Tweedie Deviance']",Light Gradient Boosting on ElasticNet Predictions (Gamma Loss),False,False,NA,False,100.0,387,,0,False,False,False,,,
17,False,60e6fa1e1819e0ef5b4cc9f0,60e6f9aa09e650e3e304a2c9,Informative Features,Boosting Model Preprocessing v1,1240.0,0.5,"FVE Gamma: [0.91896, 0.916934], FVE Poisson: [0.94964, 0.922474], FVE Tweedie: [0.93945, 0.9294160000000001], Gamma Deviance: [0.07115, 0.081292], Gini Norm: [0.9765, 0.974212], MAE: [5.71285, 7.8459699999999994], MAPE: [21.98522, 26.005688], Poisson Deviance: [1.62699, 3.3027559999999996], R Squared: [0.9387, 0.8097], RMSE: [10.20479, 21.560394], RMSLE: [0.25469, 0.284698], SMAPE: [19.88303, 19.763403999999998], Tweedie Deviance: [0.30916, 0.43386399999999997], labels: ['(0,-1)', '(.,-1)'], metrics: ['FVE Gamma', 'FVE Poisson', 'FVE Tweedie', 'Gamma Deviance', 'Gini Norm', 'MAE', 'MAPE', 'Poisson Deviance', 'R Squared', 'RMSE', 'RMSLE', 'SMAPE', 'Tweedie Deviance']",Light Gradient Boosting on ElasticNet Predictions (Gamma Loss),False,False,NA,False,64.0166,387,,0,False,False,False,,,
35,False,60e6fae59c000b74dedec6c2,60e6fae49c000b74dedec6ba,DR Reduced Features M12,Boosting Model Preprocessing v1,1240.0,0.5,"FVE Gamma: [0.83693, 0.841956], FVE Poisson: [0.88629, 0.888012], FVE Tweedie: [0.86811, 0.872392], Gamma Deviance: [0.14315, 0.15506199999999998], Gini Norm: [0.93982, 0.9426780000000001], MAE: [8.6112, 10.061760000000001], MAPE: [38.00316, 38.344208], Poisson Deviance: [3.67364, 4.7909939999999995], R Squared: [0.8812, 0.875996], RMSE: [14.20689, 18.471414], RMSLE: [0.38258, 0.395654], SMAPE: [29.80445, 29.289006], Tweedie Deviance: [0.67338, 0.787514], labels: ['(0,-1)', '(.,-1)'], metrics: ['FVE Gamma', 'FVE Poisson', 'FVE Tweedie', 'Gamma Deviance', 'Gini Norm', 'MAE', 'MAPE', 'Poisson Deviance', 'R Squared', 'RMSE', 'RMSLE', 'SMAPE', 'Tweedie Deviance']",Light Gradient Boosting on ElasticNet Predictions (Gamma Loss),False,False,NA,False,64.0166,387,,0,False,False,False,,,
42,False,60e6fb0c404b2dd7620a1602,60e6f9aa09e650e3e304a2c9,Informative Features,Boosting Model Preprocessing v1,1550,0.5,"FVE Gamma: [0.92163, 0.91524], FVE Poisson: [0.94216, 0.917792], FVE Tweedie: [0.93824, 0.926704], Gamma Deviance: [0.0688, 0.082866], Gini Norm: [0.9767, 0.973588], MAE: [6.2107, 8.090410000000002], MAPE: [21.6863, 26.134366], Poisson Deviance: [1.86877, 3.4802939999999998], R Squared: [0.90288, 0.796884], RMSE: [12.84499, 22.38603], RMSLE: [0.25043, 0.285536], SMAPE: [19.72675, 20.045607999999998], Tweedie Deviance: [0.31533, 0.44958600000000004], labels: ['(0,-1)', '(.,-1)'], metrics: ['FVE Gamma', 'FVE Poisson', 'FVE Tweedie', 'Gamma Deviance', 'Gini Norm', 'MAE', 'MAPE', 'Poisson Deviance', 'R Squared', 'RMSE', 'RMSLE', 'SMAPE', 'Tweedie Deviance']",Light Gradient Boosting on ElasticNet Predictions (Gamma Loss),False,False,NA,False,80.0207,387,,0,False,False,False,,,
