Rank,Starred,Model ID,Feature List ID,Feature List,Model Features,Sample Size,Prediction Threshold,Modeling Results,Model Type,Reference Model,Prediction Threshold Locked,Insights,DataRobot Prime,Sample %,Holdout Size,Predicted Ram Usage,Total Prediction API Requirements,Uses GPU,Scaleout,Monotonic Constraints,Monotonic Feature List,Smart Sampling,Smart Sample Size
11,False,60e9083057012779d9b8e8ee,60e907d443afcfa65317be00,Informative Features,Tree-based Algorithm Preprocessing v1,4958.0,0.5,"Gini Norm: [0.99196], MAE: [3.92078], R Squared: [0.98567], RMSE: [6.34344], SMAPE: [34.56275], labels: ['(0,-1)'], metrics: ['Gini Norm', 'MAE', 'R Squared', 'RMSE', 'SMAPE']",Light Gradient Boosted Trees Regressor with Early Stopping,False,False,NA,False,31.99949,3099,,0,False,False,False,,,
10,False,60e9083057012779d9b8e8ed,60e907d443afcfa65317be00,Informative Features,"Missing Values Imputed, Generalized Additive2 Model, Text fit on Residuals (L2 /  Least-Squares Loss)",4958.0,0.5,"Gini Norm: [0.98874], MAE: [4.33415], R Squared: [0.98042], RMSE: [7.41357], SMAPE: [38.86115], labels: ['(0,-1)'], metrics: ['Gini Norm', 'MAE', 'R Squared', 'RMSE', 'SMAPE']",Generalized Additive2 Model,False,False,NA,False,31.99949,3099,,0,False,False,True,,,
8,False,60e9083057012779d9b8e8eb,60e907d443afcfa65317be00,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Regressor (mixing alpha=0.5 / Least-Squares Loss)",4958.0,0.5,"Gini Norm: [0.99537], MAE: [3.31263], R Squared: [0.99315], RMSE: [4.38398], SMAPE: [30.42238], labels: ['(0,-1)'], metrics: ['Gini Norm', 'MAE', 'R Squared', 'RMSE', 'SMAPE']",Elastic-Net Regressor (mixing alpha=0.5 / Least-Squares Loss),False,False,NA,False,31.99949,3099,,0,False,False,False,,,
30,False,60e908af6b71f57f2edecb14,60e907d443afcfa65317be00,Informative Features,"Missing Values Imputed, Standardize, Elastic-Net Regressor (mixing alpha=0.5 / Least-Squares Loss)",9916.0,0.5,"Gini Norm: [0.99638, 0.995182], MAE: [2.78019, 2.7295979999999997], R Squared: [0.99471, 0.9858939999999998], RMSE: [3.85251, 6.187258], SMAPE: [25.95239, 23.965837999999998], labels: ['(0,-1)', '(.,-1)'], metrics: ['Gini Norm', 'MAE', 'R Squared', 'RMSE', 'SMAPE']",Elastic-Net Regressor (mixing alpha=0.5 / Least-Squares Loss),False,False,NA,False,63.99897,3099,,0,False,False,False,,,
12,False,60e9083057012779d9b8e8ef,60e907d443afcfa65317be00,Informative Features,"Numeric Data Cleansing, Standardize, Ridge Regressor, Light Gradient Boosting on ElasticNet Predictions ",4958.0,0.5,"Gini Norm: [0.99693], MAE: [1.39666], R Squared: [0.99716], RMSE: [2.82187], SMAPE: [25.35652], labels: ['(0,-1)'], metrics: ['Gini Norm', 'MAE', 'R Squared', 'RMSE', 'SMAPE']",Light Gradient Boosting on ElasticNet Predictions ,False,False,NA,False,31.99949,3099,,0,False,False,False,,,
22,False,60e908af6b71f57f2edecb12,60e907d443afcfa65317be00,Informative Features,"Numeric Data Cleansing, Standardize, Ridge Regressor, Light Gradient Boosting on ElasticNet Predictions ",9916.0,0.5,"Gini Norm: [0.99783, 0.997946], MAE: [1.07274, 1.064052], R Squared: [0.99793, 0.9978620000000001], RMSE: [2.41, 2.50287], SMAPE: [20.39634, 19.795942], labels: ['(0,-1)', '(.,-1)'], metrics: ['Gini Norm', 'MAE', 'R Squared', 'RMSE', 'SMAPE']",Light Gradient Boosting on ElasticNet Predictions ,False,False,NA,False,63.99897,3099,,0,False,False,False,,,
41,False,60e909d4fe41a16f880a1a5c,60e909d4fe41a16f880a1a54,DR Reduced Features M14,"Numeric Data Cleansing, Standardize, Ridge Regressor, Light Gradient Boosting on ElasticNet Predictions ",9916.0,0.5,"Gini Norm: [0.99824, 0.9970519999999998], MAE: [1.60537, 1.5745680000000002], R Squared: [0.99633, 0.995332], RMSE: [3.21147, 3.721021999999999], SMAPE: [28.77026, 27.457438000000003], labels: ['(0,-1)', '(.,-1)'], metrics: ['Gini Norm', 'MAE', 'R Squared', 'RMSE', 'SMAPE']",Light Gradient Boosting on ElasticNet Predictions ,False,False,NA,False,63.99897,3099,,0,False,False,False,,,
47,False,60e90a04400de5b136decb1f,60e907d443afcfa65317be00,Informative Features,"Numeric Data Cleansing, Standardize, Ridge Regressor, Light Gradient Boosting on ElasticNet Predictions ",12395,0.5,"Gini Norm: [0.99814, 0.99785], MAE: [1.06814, 1.0990980000000001], R Squared: [0.99813, 0.997742], RMSE: [2.28819, 2.573564], SMAPE: [20.85742, 20.193694], labels: ['(0,-1)', '(.,-1)'], metrics: ['Gini Norm', 'MAE', 'R Squared', 'RMSE', 'SMAPE']",Light Gradient Boosting on ElasticNet Predictions ,False,False,NA,False,79.99871,3099,,0,False,False,False,,,
7,False,60e9083057012779d9b8e8ea,60e907d443afcfa65317be00,Informative Features,Regularized Linear Model Preprocessing v19,4958.0,0.5,"Gini Norm: [0.99817], MAE: [2.13992], R Squared: [0.99546], RMSE: [3.56997], SMAPE: [32.66363], labels: ['(0,-1)'], metrics: ['Gini Norm', 'MAE', 'R Squared', 'RMSE', 'SMAPE']",Ridge Regressor,False,False,NA,False,31.99949,3099,,0,False,False,False,,,
26,False,60e908af6b71f57f2edecb13,60e907d443afcfa65317be00,Informative Features,Regularized Linear Model Preprocessing v19,9916.0,0.5,"Gini Norm: [0.99847, 0.9975759999999999], MAE: [2.00514, 1.9981199999999997], R Squared: [0.99596, 0.9948919999999999], RMSE: [3.36852, 3.8836260000000005], SMAPE: [30.71145, 29.108914], labels: ['(0,-1)', '(.,-1)'], metrics: ['Gini Norm', 'MAE', 'R Squared', 'RMSE', 'SMAPE']",Ridge Regressor,False,False,NA,False,63.99897,3099,,0,False,False,False,,,
